iter	RMSE
0	0.5953212198
1	0.5528292519
2	0.5159156477
3	0.476366854
4	0.4426667134
5	0.4130359971
6	0.3876726969
7	0.3647195677
8	0.3467147766
9	0.3308962249
10	0.3152178489
11	0.2999573649
12	0.2876308577
13	0.2783215602
14	0.2708363046
15	0.2645080085
16	0.2573163377
17	0.2524999027
18	0.248191257
19	0.2429865706
20	0.2397520534
21	0.2356746602
22	0.2328459492
23	0.2311819974
24	0.2288261098
25	0.2268088372
26	0.2248207196
27	0.2232708904
28	0.2222959184
29	0.221363848
30	0.2206413487
31	0.2194224983
32	0.218399028
33	0.2176736922
34	0.2172107949
35	0.216540274
36	0.2158896473
37	0.2151434788
38	0.2146879284
39	0.2143659599
40	0.2138603221
41	0.2132901524
42	0.2128556773
43	0.2124464161
44	0.2120319077
45	0.2118117987
46	0.2116013691
47	0.2111099372
48	0.2106770546
49	0.2104199133
50	0.210201746
51	0.2099834103
52	0.2097037661
53	0.209539615
54	0.2093344545
55	0.2090490276
56	0.2087684765
57	0.2085187958
58	0.2081641666
59	0.2077742146
60	0.2075603052
61	0.2072563824
62	0.2069468464
63	0.2067449215
64	0.206472185
65	0.2060181057
66	0.2057245993
67	0.2055147206
68	0.205286451
69	0.2050833247
70	0.2048108939
71	0.2045488602
72	0.2043141175
73	0.2041526636
74	0.203780775
75	0.2035873377
76	0.2034963129
77	0.2032678631
78	0.2030632443
79	0.2027457144
80	0.2024772719
81	0.2022886814
82	0.2021002522
83	0.2018723468
84	0.201612327
85	0.2013120088
86	0.2011403835
87	0.200916094
88	0.2007987842
89	0.200513465
90	0.2003575152
91	0.2001562242
92	0.1999524961
93	0.1997600309
94	0.1995298703
95	0.1992153235
96	0.1990640652
97	0.1988693105
98	0.1986635271
99	0.198475498
100	0.1983736051
101	0.198229554
102	0.1979571286
103	0.1976092371
104	0.1973575515
105	0.1972097693
106	0.1969408431
107	0.1967279579
108	0.1964777976
109	0.1963090323
110	0.1961450393
111	0.1959949198
112	0.1957651044
113	0.1955716338
114	0.1952697124
115	0.1949566439
116	0.1948049875
117	0.1944990114
118	0.1942689957
119	0.1940665792
120	0.1938617122
121	0.1936438451
122	0.1934404171
123	0.193194997
124	0.1930711172
125	0.1929925831
126	0.1927585242
127	0.1924955765
128	0.1923268454
129	0.1921299601
130	0.1920193413
131	0.191736592
132	0.1915498896
133	0.1913522261
134	0.1912032295
135	0.1910745559
136	0.1908776729
137	0.1906369897
138	0.1903335945
139	0.1901447713
140	0.1900270229
141	0.1898259871
142	0.1896781676
143	0.1895159252
144	0.1893347217
145	0.1892072692
146	0.1889667501
147	0.1886862181
148	0.1884945589
149	0.1883322471
150	0.1881905888
151	0.188041478
152	0.1879238972
153	0.1877502016
154	0.1875599705
155	0.1873527829
156	0.1871652269
157	0.1869459096
158	0.1868476257
159	0.1867359916
160	0.1865977465
161	0.186477644
162	0.1863476042
163	0.1862352101
164	0.1860198428
165	0.1858223965
166	0.1856854269
167	0.1854337048
168	0.1853141422
169	0.1852389693
170	0.1850916619
171	0.1849752003
172	0.1848372003
173	0.1847506911
174	0.1846620583
175	0.1845375311
176	0.1844120961
177	0.1841616735
178	0.1839991774
179	0.1837913169
180	0.1836535254
181	0.183489962
182	0.1833111696
183	0.1831346732
184	0.1828545251
185	0.1827372342
186	0.182665558
187	0.1825146978
188	0.1823845437
189	0.1821541289
190	0.1820361211
191	0.1819093687
192	0.1817519707
193	0.1816257858
194	0.1815240449
195	0.1814233444
196	0.1812782256
197	0.1811677206
198	0.1810526964
199	0.1809796086
200	0.1808648732
201	0.1807551277
202	0.1806365316
203	0.1804622784
204	0.1802703376
205	0.1801911047
206	0.1799205788
207	0.179778064
208	0.1796694263
209	0.1795277134
210	0.1793859116
211	0.1791985097
212	0.1791237258
213	0.1790303235
214	0.1788705692
215	0.1787603846
216	0.1785411239
217	0.1784215704
218	0.178328696
219	0.1782187841
220	0.1781326466
221	0.178063913
222	0.1779590952
223	0.1778715905
224	0.177762831
225	0.1776555426
226	0.1775145656
227	0.1773786213
228	0.1772593133
229	0.1770594637
230	0.1769035428
231	0.1768238366
232	0.1767107412
233	0.1764939773
234	0.1763913733
235	0.1762539736
236	0.176083021
237	0.1759310143
238	0.1758210067
239	0.1757101366
240	0.1755691308
241	0.1753906068
242	0.1752501797
243	0.1751343198
244	0.1750343063
245	0.1749524267
246	0.174808815
247	0.1747088119
248	0.1746071659
249	0.1743879282
250	0.174186886
251	0.1740380939
252	0.1739753101
253	0.1738952679
254	0.1737821414
255	0.1736745462
256	0.1735812805
257	0.1733955952
258	0.1732216323
259	0.1729220254
260	0.1727827004
261	0.1726852641
262	0.172616826
263	0.1725094559
264	0.1723577177
265	0.1722968705
266	0.1721946948
267	0.1721031296
268	0.1719881554
269	0.1718809046
270	0.1717099529
271	0.1715272996
272	0.1713924236
273	0.1712542112
274	0.1711608398
275	0.1710211383
276	0.1708778507
277	0.1707413125
278	0.170637005
279	0.1705318867
280	0.1704964269
281	0.1703598631
282	0.170255505
283	0.1701726056
284	0.1700790071
285	0.1699748524
286	0.1698673541
287	0.1697665102
288	0.1696478616
289	0.1695784046
290	0.1693973776
291	0.169267933
292	0.1691542961
293	0.1690481149
294	0.168953518
295	0.1688478124
296	0.1686925904
297	0.1685577825
298	0.1684103558
299	0.1683065749
